Title,Author,Duration (seconds),Video URL,Tag
Tecnica di respirazione: come migliorare la coerenza cardiaca e alleviare lo stress ogni giorno,Dott. Nicola Triglione,295,https://www.youtube.com/watch?v=f2smrmhTc_w,respirazione
Yoga - Come si respira,La Scimmia Yoga,476,https://www.youtube.com/watch?v=a9-Xl9SIY1g,respirazione
6 esercizi di respirazione che dovresti fare ogni giorno | Pranayama | 30 min di yoga,Toyoga,1632,https://www.youtube.com/watch?v=bVt5aqoWYhA,respirazione
Esercizio di respirazione profonda,Laura Pirotta,338,https://www.youtube.com/watch?v=6W23--tt1Oc,respirazione
"15 min | Esercizio di RESPIRAZIONE PER LA CALMA - Esercizio del ""4-7-8""",Giusi Valentini - Happy Daily,1041,https://www.youtube.com/watch?v=SEz7PJ2HZrU,respirazione
10 min | Esercizio di RESPIRAZIONE contro l'INSONNIA e per CALMARTI,Giusi Valentini - Happy Daily,694,https://www.youtube.com/watch?v=BIus8fflaGg,respirazione
Esercizi di respirazione diaframmatica per rilassarsi,FraParentesi.org,119,https://www.youtube.com/watch?v=eeJmzvj7rmY,respirazione
Respirazione diaframmatica - Esercizi per imparare a respirare,Angelo Terranova,336,https://www.youtube.com/watch?v=E229d33XWqg,respirazione
Nadi  Sodana Pranayama - Respirazione calmante,La Scimmia Yoga,426,https://www.youtube.com/watch?v=Rzg92kX8qmE,respirazione
Respirazione per ansia e stress | Respirazione a narici alternate | Respirazione lunare e solare,Toyoga,905,https://www.youtube.com/watch?v=2LKYGxDWZgk,respirazione
Respirazione. 3 buoni motivi per imparare a respirare in modo corretto.,Dott. Stefano Ceccon Health & Performance Trainer,1110,https://www.youtube.com/watch?v=HueVArWrs_k,respirazione
Tecniche di Respirazione per l'Ansia: ATTENZIONE! Guarda Questo Video Prima di Farle,Dr. Gennaro Romagnoli â€¢ PsiNel,907,https://www.youtube.com/watch?v=rGm6Y9_mdzE,respirazione
Un ESERCIZIO di RESPIRAZIONE EFFICACE per gestire l'ANSIA,Med4Care IT,221,https://www.youtube.com/watch?v=E4m2fn6AF30,respirazione
4 ESERCIZI DI RESPIRAZIONE PER GESTIRE ANSIA E STRESS,Dr. Andrea Croce ,256,https://www.youtube.com/watch?v=0UKWSrHtl6I,respirazione
CALMARE L'ANSIA CON LA RESPIRAZIONE DIAFRAMMATICA: meditazione per ansia e attacchi di panico,Elisa Brucoli - Crescita Personale e Psicologia,597,https://www.youtube.com/watch?v=lmjj5rm8AWQ,respirazione
Come usare la RESPIRAZONE per ridurre ANSIA e CONTRATTURE MUSCOLARI,L'Altra Riabilitazione - Marcello Chiapponi,306,https://www.youtube.com/watch?v=XzuONxduZVs,respirazione
